person_id,name,bat_hand,bowl_type
c7a995d3,R Sai Kishore,LHB,SLA
b5797845,Priyansh Arya,LHB,
f708a0bc,GB Hogg,RHB,LWS
b0946605,AS Joseph,RHB,RF
80b2fb19,Prince Yadav,RHB,RFM
da934ee8,MK Lomror,LHB,SLA
7d92277a,Mujeeb Ur Rahman,RHB,OB
8291f939,AL Menaria,LHB,SLA
69be866a,Anureet Singh,RHB,RFM
8f6dd463,Azmatullah Omarzai,RHB,RFM
470f446b,V Suryavanshi,LHB,
e0407c01,IC Pandey,RHB,RFM
327b58d3,PVD Chameera,RHB,RF
1c2a64cd,A Ashish Reddy,RHB,RM
cf73ad76,JEC Franklin,LHB,LM
d1c36f5c,JJ Roy,RHB,
94d7f855,C de Grandhomme,RHB,RM
24d94623,Ankit Sharma,LHB,SLA
d014d5ac,SE Rutherford,LHB,RM
caf69bf7,DR Sams,LHB,LFM
81049310,J Yadav,RHB,OB
844e79d1,D Brevis,RHB,LB
2e11c706,BCJ Cutting,RHB,RFM
c0c411cb,Naveen-ul-Haq,RHB,RFM
650d5e49,R Powell,RHB,RM
64775749,RP Meredith,RHB,RF
e798611a,HM Amla,RHB,
e4cdf230,AS Roy,LHB,SLA
